Team_Number_Id,TeamPoints,FieldGoals.,X3PointShots.,FreeThrows.,TotalRebounds,Assists,Steals,Blocks
1,103,0.414,0.323,0.84,40,18,11,3
1,89,0.361,0.308,0.84,39,14,7,5
1,113,0.436,0.353,0.826,37,22,5,4
1,107,0.396,0.27,0.724,56,20,9,8
1,110,0.5,0.444,1,44,25,6,4
1,105,0.463,0.393,0.769,46,21,6,3
1,102,0.465,0.36,0.929,50,23,8,2
1,94,0.416,0.25,0.769,43,32,5,3
1,97,0.38,0.229,0.696,45,27,5,4
1,104,0.482,0.462,1,44,24,8,5
1,93,0.394,0.333,0.706,47,19,8,9
1,110,0.468,0.5,0.84,39,23,6,5
1,104,0.432,0.279,0.762,32,24,2,4
1,105,0.494,0.382,0.875,44,27,8,8
1,110,0.506,0.375,0.909,29,26,5,4
1,110,0.425,0.355,0.912,36,21,6,4
1,99,0.402,0.455,0.737,44,25,6,3
1,108,0.506,0.32,0.762,36,29,13,5
1,98,0.425,0.4,0.667,46,25,4,7
1,107,0.446,0.364,0.895,42,20,4,4
1,118,0.487,0.345,0.865,35,27,10,3
1,92,0.384,0.343,0.7,50,21,7,6
1,98,0.427,0.182,0.842,43,25,9,4
1,93,0.451,0.226,0.632,40,14,9,7
1,104,0.375,0.222,0.706,41,21,14,3
1,107,0.437,0.31,0.815,49,21,13,11
1,109,0.442,0.429,0.9,35,21,10,2
1,113,0.457,0.515,0.833,49,23,7,5
1,90,0.425,0.286,0.762,44,22,8,6
1,87,0.415,0.303,0.9,35,21,11,4
1,122,0.512,0.475,0.864,42,32,2,5
1,107,0.425,0.419,0.833,47,26,5,5
1,117,0.467,0.444,0.654,46,30,5,2
1,117,0.459,0.333,0.964,44,23,7,4
1,99,0.404,0.273,0.737,52,21,7,3
1,90,0.393,0.333,0.667,40,19,7,2
1,94,0.44,0.344,0.45,44,24,5,5
1,99,0.443,0.275,0.909,45,18,5,2
1,114,0.532,0.481,0.826,37,26,10,2
1,91,0.356,0.231,0.667,59,24,9,4
1,94,0.482,0.306,1,52,33,0,3
1,98,0.42,0.394,0.733,49,24,10,1
1,86,0.367,0.3,0.647,48,20,5,6
1,103,0.481,0.333,0.696,50,24,5,5
1,112,0.5,0.429,0.786,37,23,7,4
1,113,0.418,0.351,0.692,39,27,10,3
2,102,0.446,0.333,0.727,52,27,9,2
2,91,0.404,0.167,0.692,56,24,6,4
2,87,0.378,0.278,0.533,44,12,8,13
2,114,0.483,0.371,0.789,46,24,11,2
2,113,0.396,0.38,0.875,53,27,7,3
2,80,0.405,0.241,0.765,31,13,7,5
2,95,0.435,0.296,0.929,44,22,6,9
2,107,0.467,0.341,0.8,42,22,3,5
2,113,0.419,0.35,0.955,47,25,10,3
2,105,0.435,0.5,0.708,45,17,6,2
2,111,0.473,0.472,0.8,40,28,4,6
2,103,0.482,0.423,0.6,49,27,8,3
2,119,0.506,0.458,0.9,42,26,8,3
2,97,0.412,0.417,0.706,51,24,3,6
2,91,0.398,0.435,0.75,38,21,3,3
2,110,0.464,0.346,0.676,45,16,9,6
2,91,0.382,0.259,0.8,38,16,5,8
2,99,0.404,0.263,0.773,43,22,3,4
2,119,0.433,0.484,0.952,46,24,4,7
2,110,0.482,0.436,0.611,42,30,8,5
2,121,0.452,0.394,0.857,45,21,11,5
2,109,0.453,0.324,0.704,44,25,5,5
2,134,0.621,0.6,0.933,47,31,3,4
2,120,0.484,0.542,0.905,38,22,6,3
2,105,0.488,0.333,0.917,53,25,7,4
2,117,0.494,0.344,0.741,46,28,7,2
2,97,0.42,0.324,0.81,42,26,10,5
2,124,0.485,0.462,0.696,44,30,9,5
2,92,0.378,0.346,0.75,55,16,7,6
2,89,0.402,0.346,0.5,44,17,8,3
2,100,0.414,0.361,0.938,52,22,6,5
2,105,0.455,0.611,0.923,45,22,5,4
2,104,0.556,0.545,0.706,35,23,9,2
2,102,0.425,0.483,1,44,24,10,3
2,97,0.443,0.571,0.75,42,20,11,2
2,110,0.455,0.412,0.852,41,19,6,3
2,102,0.469,0.304,0.792,37,19,10,6
2,78,0.333,0.136,0.893,43,10,7,3
2,111,0.556,0.412,0.412,46,35,9,7
2,106,0.512,0.391,0.65,41,33,9,6
2,101,0.379,0.394,0.815,44,22,14,1
2,110,0.451,0.25,0.8,62,22,6,6
3,98,0.439,0.36,0.739,52,17,7,10
3,98,0.514,0.467,0.909,38,22,3,3
3,85,0.33,0.194,0.864,55,11,2,11
3,113,0.39,0.364,0.821,55,22,8,2
3,80,0.365,0.324,0.933,35,19,11,2
3,110,0.46,0.382,0.654,43,29,8,1
3,113,0.424,0.279,0.85,47,28,6,3
3,104,0.368,0.344,0.806,44,16,5,3
3,95,0.422,0.361,0.667,47,23,3,1
3,101,0.474,0.281,0.769,44,20,5,8
3,101,0.463,0.419,0.7,46,23,1,3
3,108,0.468,0.421,0.72,45,27,1,5
3,91,0.371,0.235,0.85,45,18,5,2
3,97,0.463,0.3,0.8,43,22,3,7
3,95,0.414,0.243,0.875,49,15,6,3
3,116,0.506,0.406,0.893,39,19,3,9
3,99,0.451,0.31,0.696,38,20,7,8
3,94,0.411,0.31,0.786,36,25,5,1
3,113,0.482,0.457,0.882,37,24,8,2
3,106,0.433,0.333,0.917,50,33,4,6
3,128,0.377,0.356,0.955,60,30,10,3
3,101,0.461,0.3,0.7,37,27,10,6
3,103,0.422,0.371,0.741,44,24,4,2
3,96,0.387,0.326,0.714,41,27,6,8
3,104,0.444,0.381,1,48,31,4,9
3,123,0.537,0.375,0.767,36,29,6,0
3,111,0.417,0.37,0.824,51,27,10,4
3,120,0.435,0.422,0.913,44,30,8,4
3,101,0.424,0.265,0.8,38,24,7,1
3,125,0.511,0.344,0.909,43,30,7,7
3,97,0.388,0.357,0.875,42,17,5,5
3,102,0.407,0.417,0.895,38,21,9,6
3,116,0.449,0.5,0.778,47,25,4,5
3,114,0.512,0.389,0.737,43,25,4,6
3,118,0.5,0.4,0.75,41,27,5,9
3,105,0.419,0.351,0.667,46,22,6,11
3,112,0.488,0.407,0.613,40,21,5,9
3,114,0.458,0.459,0.808,38,27,7,3
3,111,0.46,0.353,0.864,48,28,6,5
3,110,0.429,0.286,0.786,47,28,11,5
3,96,0.425,0.279,0.667,40,23,5,5
3,95,0.42,0.405,0.435,36,20,5,6
3,119,0.547,0.487,0.857,41,30,3,12
3,124,0.5,0.436,0.727,46,36,11,10
3,114,0.5,0.429,0.933,38,32,8,10
3,97,0.407,0.275,0.75,44,27,10,6
5,131,0.573,0.469,0.778,30,25,7,3
5,108,0.424,0.364,0.75,56,26,10,3
5,111,0.512,0.385,0.5,43,16,6,5
5,99,0.41,0.333,0.765,46,17,8,2
5,91,0.398,0.321,0.696,50,16,3,7
5,118,0.512,0.476,0.667,49,21,9,4
5,133,0.49,0.484,0.846,49,27,10,5
5,105,0.456,0.259,0.762,43,22,9,8
5,112,0.442,0.4,0.8,48,22,4,10
5,96,0.424,0.286,0.581,49,16,5,6
5,121,0.455,0.382,0.875,43,25,13,8
5,91,0.345,0.208,0.8,46,12,6,6
5,96,0.446,0.29,0.65,40,18,5,2
5,123,0.511,0.531,0.778,42,29,6,1
5,133,0.53,0.455,0.882,43,27,5,2
5,115,0.417,0.263,0.862,43,24,12,6
5,104,0.506,0.423,0.625,36,21,7,1
5,103,0.388,0.394,0.824,44,17,10,3
5,94,0.412,0.375,0.789,33,17,8,2
5,103,0.427,0.435,0.739,42,26,5,5
5,104,0.432,0.433,0.789,45,26,14,4
5,111,0.483,0.524,0.8,54,29,3,6
5,122,0.489,0.436,0.85,41,26,7,5
5,114,0.477,0.457,0.609,47,28,9,4
5,118,0.537,0.429,0.714,35,28,11,8
5,106,0.462,0.333,0.591,33,24,6,6
5,99,0.42,0.458,0.625,39,21,7,0
5,98,0.376,0.238,0.829,46,16,7,4
5,114,0.5,0.379,0.742,33,26,7,5
5,111,0.482,0.211,0.833,36,19,5,5
5,122,0.506,0.406,0.778,41,24,11,5
5,115,0.484,0.269,0.818,45,22,8,9
5,129,0.529,0.515,0.667,45,30,3,3
5,101,0.367,0.273,0.813,50,11,7,5
5,94,0.381,0.273,0.8,39,16,8,4
5,111,0.383,0.188,0.766,68,18,3,2
5,140,0.533,0.475,0.852,53,25,10,4
5,102,0.38,0.48,0.69,62,21,10,4
5,137,0.548,0.393,0.857,43,25,5,4
5,105,0.513,0.238,0.917,40,20,2,2
5,93,0.455,0.261,0.63,46,22,6,2
5,102,0.402,0.3,0.794,40,17,8,7
5,114,0.494,0.382,0.75,49,24,3,4
5,137,0.558,0.548,0.923,50,32,4,5
5,117,0.5,0.367,0.867,36,27,6,3
5,119,0.465,0.429,0.75,54,27,5,7
4,120,0.433,0.407,0.826,58,28,5,7
4,115,0.462,0.394,0.842,43,29,5,2
4,127,0.564,0.5,0.781,42,25,9,3
4,86,0.375,0.313,0.8,34,15,4,6
4,107,0.465,0.429,0.833,37,26,6,5
4,122,0.459,0.455,0.85,48,21,10,5
4,107,0.483,0.472,0.667,40,27,10,8
4,119,0.477,0.41,0.864,45,27,6,2
4,112,0.425,0.256,0.923,49,24,10,2
4,113,0.5,0.438,0.905,48,31,8,1
4,128,0.489,0.258,0.882,54,31,8,6
4,101,0.383,0.297,0.818,43,20,8,2
4,103,0.376,0.472,0.667,53,21,3,7
4,96,0.414,0.353,0.8,41,25,8,2
4,108,0.414,0.382,0.591,36,19,10,4
4,103,0.361,0.324,1,48,22,6,4
4,98,0.4,0.389,0.833,46,20,6,1
4,114,0.494,0.346,0.767,39,22,5,4
4,90,0.425,0.281,0.813,45,23,11,2
4,105,0.455,0.281,0.762,46,25,6,3
4,98,0.429,0.167,0.8,42,17,5,6
4,115,0.454,0.529,0.6,48,27,5,4
4,104,0.467,0.261,0.7,42,21,5,9
4,87,0.355,0.261,0.652,56,17,8,7
4,103,0.481,0.375,0.762,44,26,8,5
4,108,0.472,0.37,0.7,45,24,10,2
4,89,0.395,0.364,0.65,36,18,14,1
4,119,0.532,0.379,0.75,41,25,10,1
4,83,0.355,0.29,0.8,42,19,11,0
4,129,0.49,0.459,0.842,47,31,10,4
4,106,0.426,0.241,0.867,45,26,11,2
4,111,0.438,0.366,0.788,42,23,10,2
4,109,0.451,0.471,0.733,45,30,4,3
4,92,0.359,0.1,0.742,48,21,9,7
4,102,0.438,0.342,0.786,34,29,12,4
4,105,0.414,0.462,0.913,51,21,3,2
4,95,0.402,0.314,0.667,44,27,10,1
4,86,0.382,0.216,0.588,51,17,8,1
4,92,0.367,0.231,0.769,50,19,10,5
4,90,0.357,0.341,0.696,53,16,11,7
4,113,0.524,0.529,0.692,40,30,7,1
4,120,0.465,0.441,0.722,44,26,9,4
4,104,0.465,0.467,0.588,43,25,15,0
4,96,0.409,0.207,0.857,39,16,8,1
4,105,0.483,0.429,0.583,44,26,7,6
4,87,0.372,0.324,0.667,40,21,8,1
6,127,0.518,0.406,0.757,40,28,11,4
6,88,0.348,0.25,1,48,16,6,7
6,131,0.5,0.441,0.71,45,25,11,2
6,99,0.44,0.342,0.75,37,26,0,4
6,99,0.382,0.231,0.833,35,18,3,4
6,95,0.435,0.206,0.737,46,19,12,5
6,108,0.457,0.25,0.682,43,26,9,5
6,104,0.447,0.294,0.667,46,22,8,4
6,124,0.517,0.27,0.815,28,32,7,4
6,102,0.486,0.286,0.839,41,19,6,3
6,115,0.561,0.351,0.769,44,27,13,4
6,121,0.506,0.429,0.846,45,27,2,3
6,114,0.452,0.371,0.781,41,24,2,5
6,91,0.35,0.231,0.763,45,18,9,5
6,88,0.391,0.267,0.75,47,22,4,3
6,98,0.429,0.324,0.7,36,19,4,4
6,140,0.591,0.512,0.652,41,33,5,1
6,123,0.535,0.429,0.667,43,31,8,4
6,121,0.536,0.533,0.75,41,22,7,6
6,120,0.511,0.444,0.636,41,24,6,3
6,103,0.5,0.229,0.579,36,20,5,2
6,112,0.46,0.379,0.955,46,26,13,9
6,94,0.418,0.235,0.714,47,18,8,3
6,129,0.515,0.5,0.63,55,24,7,1
6,97,0.414,0.281,0.696,45,23,4,6
6,117,0.523,0.375,0.762,41,25,5,2
6,112,0.489,0.364,0.824,53,29,8,2
6,113,0.506,0.448,0.667,35,25,10,4
6,102,0.448,0.333,0.667,40,22,10,7
6,113,0.466,0.387,0.826,37,22,4,5
6,129,0.494,0.486,0.867,44,25,12,9
6,105,0.513,0.333,0.571,34,17,5,7
6,114,0.506,0.351,0.65,44,25,4,5
6,124,0.494,0.395,0.852,42,24,4,6
6,132,0.603,0.625,0.821,33,28,3,4
6,120,0.495,0.276,0.75,54,23,9,4
6,121,0.506,0.429,0.808,49,25,5,2
6,79,0.365,0.154,0.684,42,15,8,1
6,118,0.484,0.393,0.85,38,22,9,1
6,107,0.478,0.417,0.733,45,22,6,2
6,98,0.412,0.423,0.739,50,21,7,1
6,112,0.494,0.433,0.885,42,18,8,6
6,119,0.545,0.481,0.786,35,26,10,3
6,130,0.517,0.471,0.727,41,24,6,2
6,122,0.471,0.422,0.852,42,29,9,2
6,98,0.394,0.25,0.643,48,15,9,3
7,122,0.478,0.442,0.773,40,29,6,2
7,124,0.533,0.438,0.706,34,33,11,2
7,96,0.38,0.25,0.833,40,22,7,3
7,114,0.518,0.346,0.864,38,27,6,2
7,115,0.47,0.417,0.786,39,23,7,7
7,101,0.378,0.256,0.786,39,20,5,1
7,102,0.487,0.296,0.818,35,17,10,3
7,108,0.458,0.4,0.786,37,19,9,5
7,98,0.437,0.323,0.706,52,20,9,9
7,97,0.427,0.429,0.667,49,24,5,2
7,93,0.393,0.333,0.765,37,17,9,3
7,89,0.4,0.355,0.526,43,17,8,5
7,88,0.384,0.276,0.875,40,20,10,3
7,88,0.364,0.278,0.538,49,18,11,4
7,106,0.494,0.317,0.786,36,28,8,0
7,101,0.413,0.405,0.9,38,22,5,5
7,103,0.435,0.243,0.824,34,19,15,7
7,130,0.539,0.444,0.815,40,32,8,3
7,97,0.409,0.323,0.688,52,26,6,4
7,109,0.458,0.375,0.783,37,29,4,4
7,102,0.407,0.452,0.818,29,25,9,8
7,90,0.41,0.286,0.857,44,19,6,4
7,109,0.455,0.378,0.833,44,20,9,3
7,110,0.484,0.361,0.6,36,30,11,1
7,100,0.417,0.448,0.81,46,21,6,4
7,109,0.444,0.435,0.76,43,25,5,2
7,118,0.478,0.556,0.739,51,24,8,3
7,114,0.481,0.345,0.857,52,21,8,3
7,82,0.351,0.161,0.611,53,27,5,2
7,110,0.449,0.4,0.889,40,22,11,1
7,115,0.527,0.273,0.722,36,25,7,5
7,106,0.446,0.545,0.857,45,25,5,3
7,105,0.478,0.286,0.818,40,25,4,2
7,112,0.494,0.531,0.786,35,22,5,7
7,98,0.396,0.293,0.737,52,22,10,6
7,103,0.45,0.35,0.68,43,25,7,9
7,93,0.393,0.295,0.737,40,17,10,1
7,92,0.442,0.393,0.714,46,22,5,5
7,87,0.405,0.351,0.909,38,15,5,3
7,115,0.457,0.386,0.7,43,27,8,5
7,100,0.438,0.333,0.706,43,24,3,1
7,106,0.435,0.333,0.722,46,26,7,5
7,97,0.426,0.275,0.462,43,24,6,6
7,97,0.385,0.242,0.682,40,20,8,1
8,134,0.622,0.444,0.909,48,35,8,9
8,99,0.442,0.4,0.563,37,24,9,1
8,98,0.461,0.382,0.714,46,20,2,6
8,114,0.495,0.421,0.75,39,30,8,3
8,97,0.4,0.243,0.6,40,27,13,6
8,87,0.386,0.318,0.813,47,15,8,3
8,80,0.349,0.25,0.882,41,18,9,4
8,105,0.465,0.308,0.654,47,23,10,3
8,104,0.433,0.2,0.833,54,23,13,7
8,100,0.449,0.389,0.762,42,23,7,5
8,104,0.41,0.333,0.788,49,23,7,8
8,130,0.6,0.5,0.833,32,36,3,2
8,91,0.42,0.364,0.733,53,23,6,8
8,110,0.452,0.303,0.762,47,31,4,3
8,104,0.465,0.435,1,38,22,11,6
8,127,0.515,0.395,0.706,43,32,3,10
8,115,0.429,0.414,0.862,48,28,7,0
8,121,0.568,0.529,0.846,41,30,10,2
8,104,0.477,0.107,0.81,39,25,7,2
8,123,0.511,0.448,0.909,37,20,10,5
8,117,0.495,0.313,0.833,35,29,10,3
8,134,0.553,0.6,0.8,34,37,9,6
8,122,0.495,0.375,0.737,52,33,5,3
8,114,0.484,0.345,0.667,36,33,13,6
8,120,0.494,0.323,0.8,41,27,11,7
8,108,0.548,0.273,0.846,37,18,17,3
8,126,0.547,0.543,0.867,35,35,4,3
8,107,0.413,0.306,0.769,49,23,5,8
8,108,0.488,0.37,0.778,51,22,7,2
8,125,0.506,0.484,0.867,36,30,10,6
8,130,0.562,0.405,0.714,51,38,2,4
8,103,0.442,0.325,0.737,44,26,12,4
8,120,0.506,0.429,0.786,45,26,7,8
8,94,0.368,0.273,0.724,49,17,10,5
8,141,0.46,0.474,0.838,46,23,10,5
8,135,0.614,0.571,0.813,45,34,9,6
8,108,0.435,0.5,0.944,38,25,5,10
8,104,0.429,0.344,0.618,37,27,10,7
8,110,0.472,0.433,0.929,40,26,6,6
8,126,0.521,0.333,0.857,58,27,4,5
8,128,0.444,0.306,0.804,57,27,2,8
8,107,0.461,0.313,0.75,49,31,10,8
8,100,0.393,0.306,0.864,47,21,3,7
8,134,0.624,0.414,0.696,33,36,4,6
8,88,0.373,0.231,0.769,52,22,7,5
8,106,0.456,0.406,0.611,47,19,4,4
9,104,0.477,0.375,0.813,35,21,4,2
9,78,0.385,0.318,0.579,34,20,9,4
9,108,0.507,0.48,0.741,35,21,8,4
9,109,0.441,0.296,0.864,39,22,5,4
9,114,0.516,0.476,0.667,54,24,10,4
9,105,0.446,0.414,0.786,45,28,8,7
9,107,0.488,0.517,0.727,38,27,10,5
9,91,0.42,0.357,0.467,42,22,14,7
9,112,0.5,0.333,0.846,35,25,8,3
9,100,0.422,0.31,0.882,43,21,3,4
9,95,0.392,0.226,0.667,57,23,10,7
9,108,0.464,0.364,0.75,43,24,4,3
9,104,0.421,0.389,0.769,43,31,5,6
9,125,0.527,0.391,0.643,47,30,12,5
9,104,0.461,0.28,0.73,41,20,8,4
9,111,0.524,0.346,0.824,49,23,7,5
9,111,0.5,0.5,0.667,51,36,7,4
9,115,0.478,0.375,0.72,46,20,10,3
9,95,0.409,0.323,0.765,40,22,5,5
9,115,0.458,0.394,0.788,40,30,6,4
9,103,0.368,0.257,0.75,54,18,5,3
9,104,0.422,0.394,0.84,47,26,3,5
9,98,0.435,0.303,0.667,45,16,4,4
9,98,0.494,0.222,0.714,41,23,4,2
9,94,0.383,0.318,0.75,42,20,11,3
9,110,0.442,0.31,0.773,57,26,9,0
9,106,0.435,0.414,0.583,43,22,10,1
9,96,0.416,0.292,0.714,46,18,8,2
9,90,0.391,0.353,0.667,40,17,9,6
9,119,0.489,0.5,0.783,51,27,2,7
9,99,0.469,0.333,0.778,50,22,8,9
9,79,0.375,0.2,0.737,32,14,14,4
9,113,0.478,0.519,0.647,41,30,8,4
9,87,0.388,0.4,0.75,43,17,6,2
9,106,0.468,0.483,0.818,44,17,6,5
9,115,0.443,0.417,0.875,50,22,12,14
9,96,0.421,0.158,0.526,66,22,9,5
9,117,0.494,0.381,0.833,49,33,6,7
9,112,0.44,0.394,0.733,50,21,4,2
9,103,0.488,0.286,0.75,44,26,9,3
9,115,0.518,0.417,0.773,43,24,8,5
9,108,0.452,0.368,0.781,53,17,9,3
9,108,0.443,0.444,0.609,42,30,4,5
9,113,0.5,0.4,0.529,49,24,6,4
9,117,0.409,0.489,0.783,38,30,10,0
9,98,0.449,0.3,0.76,33,22,7,2
9,119,0.528,0.429,1,47,27,12,4
10,125,0.527,0.406,0.842,46,36,8,7
10,124,0.552,0.433,0.75,45,35,6,6
10,121,0.415,0.333,0.811,54,31,13,10
10,124,0.565,0.433,0.714,43,33,7,10
10,106,0.481,0.348,0.846,33,26,9,6
10,108,0.557,0.333,0.833,43,28,7,3
10,127,0.58,0.375,0.857,30,28,4,3
10,118,0.482,0.375,0.8,48,33,8,6
10,119,0.5,0.394,0.88,49,24,5,3
